samples,class,middle_facial_height,lower_facial_height,philtrum,intercanthal_width,biocular_width,nasal_width,mouth_width
2.0,0.0,68.86007987598227,64.2152789757463,11.51727588148453,55.28624414504932,130.963019371644,44.366332144032334,91.29992515013863
3.0,0.0,59.25224372795705,59.872557470952415,11.58205702884422,48.98655067424912,120.4272912655759,38.56120682972071,84.75811050577812
5.0,0.0,62.92194223554263,64.04562267420704,16.93843398549866,51.15077156815233,118.00209141156789,38.85740138187962,80.4348628242611
6.0,0.0,71.22197701120358,88.40651660868781,16.209815014094875,49.59097184921377,120.38809766296693,34.36610406943009,71.80611155008268
7.0,0.0,70.22691440679368,72.06273989490685,15.425546642903775,47.39072019145905,118.70081794972707,39.89878724380209,71.12026033781356
8.0,0.0,66.59781752354745,55.00671386081157,12.214121386501608,37.54856053609278,85.28913417889734,29.572946846381406,53.00957816814748
9.0,0.0,77.0372766794979,72.45058838765354,17.771040176337454,53.763215559072556,127.55693883517576,42.80814388966777,94.52616016988442
13.0,0.0,68.371035736247,71.16762479594063,11.457117613702684,50.49408970317714,119.78193827386936,45.13743625427262,93.76094671483858
15.0,0.0,66.97519088954903,81.14174799219016,15.845659332577478,51.00186410686574,121.44206542712281,42.49276942741818,90.2677234511899
16.0,0.0,31.68011582486767,31.138306658792484,8.31898515903233,15.695849047598536,38.47938786115107,12.212563600609217,20.026899659240804
17.0,0.0,68.21910439542691,71.17349057104688,14.581014613479404,51.91393667201514,123.58360602587746,34.72284714459481,77.97755908274124
18.0,0.0,74.69328805782726,66.11219084224948,14.99695072064505,55.70840898814469,140.03200130655327,40.28629301003507,88.36041946963547
19.0,0.0,63.269866955039895,71.70254402158494,12.0229038045857,53.94551934893297,127.02522532177855,45.243437588116585,97.12141467839368
20.0,0.0,72.88996820220056,64.25239155301537,17.770046089075755,52.01771759737734,124.18390305652967,37.4363612788748,61.52871189807646
21.0,0.0,66.25632803521411,58.70794784559092,18.97885366694536,46.87157473759656,121.33302288502416,33.768146406370896,58.33254586046199
22.0,0.0,68.76876055414448,72.88162743786067,15.54160958059362,58.289494801502755,134.75729941082093,42.56329133579426,89.3523666509914
25.0,0.0,73.68422557018054,69.94942007901783,12.383269055665398,51.69149517709813,125.55271608820338,39.440575260767,81.16024964940118
26.0,0.0,79.42060945904413,80.57561837761162,16.122404523671403,49.77967279655071,128.12192760642986,39.6060989791686,81.06622244698526
27.0,0.0,71.03147233236217,74.51042588978724,14.990768482376083,46.84259344893811,122.29801752955606,36.5482851101895,69.9377126024109
29.0,0.0,77.78628450045068,70.1267764368882,11.628159842769607,55.59099948948954,132.67077388541588,40.803086628987074,98.43095836841484
30.0,0.0,67.60964408066353,56.98531434131077,14.021529245050257,46.934845190099416,104.17274085382664,30.934278575667477,55.25838812616559
31.0,0.0,63.95009017360173,54.160550978720686,14.685888682381492,42.82281257963009,105.90128229794969,30.125713835607545,52.169429118994586
32.0,0.0,83.31891156625419,70.31940324802375,13.80637464653397,62.60234840804517,141.76613332079657,41.32804786343654,60.604970333807614
33.0,0.0,71.50518438640943,67.28835638553227,14.99036731754429,46.63125093719126,113.0707528634934,41.71730626487884,84.94576618636859
34.0,0.0,70.8102786983756,68.0860177188606,14.633842293427232,58.44839691448454,140.53855704764987,41.50363644634165,85.64387100387569
35.0,0.0,62.65774456604068,48.59730829776172,13.15910751633637,35.653286199628155,87.75574292511003,30.738762448916187,53.00903409798088
